State,Wetland area (ha) 1994,Wetland area (ha) 2005,Wetland area (ha) 2016
Andaman & Nicobar,217690.26,800166.45,152809
Andhra Pradesh,577775.342,496098.292,1447133
Arunachal Pradesh,19157.887,1344.834,155728
Assam,85672.847,62944.333,764372
Bihar,143876.948,156440.503,403209
Chandigarh,135.651,834.746,350
Chhattisgarh,66694.437,76075.871,337966
Dadra & Nagar Haveli,4050.947,3989.205,2070
Daman & Diu,5481.166,966.367,2068
Delhi,2646.534,1421.043,2771
Goa,2292.215,19375.919,21337
Gujarat,2649159.932,2689209.038,3474950
Haryana,7674.831,30875.311,42478
Himachal Pradesh,40098.824,33128.352,98496
Jammu & Kashmir,50325.582,150014.525,391501
Jharkhand,29031.089,50739.306,170051
Karnataka,245522.556,251218.942,643576
Kerala,134101.273,92676.459,160590
Lakshadweep,60350.196,49171.382,79586
Madhya Pradesh,208710.03,320110.44,818166
Manipur,12916.458,10044.954,1014522
Meghalaya,1191.245,2039.387,63616
MH,469775.99,429601.377,29987
Nagaland,296.713,1542.335,13988
Odisha,389384.308,370800.826,21544
Pondicherry,531.788,482.581,690904
Punjab,12217.308,26928.189,6335
Rajasthan,246014.824,237932.658,86283
Sikkim,360.717,914.388,782314
Tamil Nadu,288890.424,179727.468,7477
Tripura,8078.973,5798.182,902534
TS,230345.639,123367.067,17542
Uttar Pradesh,291231.765,469731.477,1242530
Uttarakhand,13492.665,19216.996,103882
West Bengal,323265.025,695728.999,1107907
